"","Page","Date","message"
"1","Tekebaev",2018-01-30,"В камере где находится оппозиционный политик Омурбек Текебаев установили видеонаблюдение

По утверждению Государственной службы исполнения наказаний ГСИН КР сделано это было из соображений безопасности Однако правозащитники и сам заключенный осуждают эти действия"
"2","Tekebaev",2018-01-30,"Настоящее Время В камере где находится оппозиционный политик Омурбек Текебаев установили видеонаблюдение

По утверждению Государственной службы исполнения наказаний ГСИН КР сделано это было из соображений безопасности Однако правозащитники и сам заключенный осуждают эти действия"
"3","Tekebaev",2018-01-31,"httpswwwfacebookcomfxdxbavantgardeposts1738119042894384"
"4","Tekebaev",2017-12-14,"Текебаевдин адвокаттары БУУга кайрылышат"
"5","Tekebaev",2017-12-11,"Экспрезидент Роза Отунбаева “Ата Мекен” партиясынын камактагы лидери Өмүрбек Текебаевдин абалынан кабар алды"
"6","Tekebaev",2017-12-11,"Эми жолукканда эмне убагында  аягына чыкпай таштап салгансыз ошондо Сиз чон колдоо бермексиз"
"7","Tekebaev",2017-12-11,"Роза Отунбаева Текебаевдин духу сынбаптыр

Бүгүн күндүзгү саат 1100дө экспрезидент Роза Отунбаева 47абакка кирип “Ата Мекен” партиясынын камактагы лидери Өмүрбек Текебаев менен жолугушту"
"8","Tekebaev",2017-12-11,"Az kaldy ✊������"
"9","Tekebaev",2017-12-11,"Омурбек Текебаев эч качан сынбайтОмурбек агабыз чындык учун отуратчындык эч качан сынбайт"
"10","Tekebaev",2017-12-11,"������������������"
"11","Tekebaev",2017-12-11,"Боштондук"
"12","Tekebaev",2017-12-11,"Текебаевге боштондук"
"13","Tekebaev",2017-12-11,"Куб Бак туура айтасыз чындык эч качан сынган эмес омукебиздисадыр жб ак жеринен караланып отурган саясатчыларыбыздын боштондугун талап кылышыбыз керек жалпыбыз"
"14","Tekebaev",2017-12-11,"Өмүрбек Чиркешович кылымда бир келчү инсандардын катарын толуктайт Аны Кудайдан башка эч ким сындыра албайт Эгер сынчу болгондо бул киши камалмак эмес Жүрмөк башкаларга окшоп балыктай болуп же болбосо кошаматчыларга кошулуп"
"15","Tekebaev",2017-12-11,"Боштондук"
"16","Tekebaev",2017-12-13,"Текебаевге боштондук"
"17","Tekebaev",2017-12-08,"Жакшылык Бердибек Уулу

Ош 2010жыл13май тарыхый күн

2010жылдын 13май күнү азыркы президент Сооронбай Жээнбеков эксдепутат Исмаил Исаков жана куугунтук жеп абакта жаткан Дүйшөнкул Чотоновдор Ошто жүрүшөт 12май күнү реваншистик күчтөр Айтмамат Кадырбаев Сүйүн Өмүрзаков баш болгон топ Ош обладминистрацияны басып алган эле Ошол чырчатакты чечүү максатында Ошто кадырбаркы бар Исмаил Исаков жана Чотоновду жиберишкен Убактылуу Өкмөт

Бирок тарыхты анча билбеген Атамбаевдин командасынын жалган сценарийинде бул күндүн тарыхы башкача жазылган Маевский ушул 13май күнү Текебаев жана Чотоновго Супарадан жолукканбыз деп көрсөтмө берип ошонун негизинде камап жатат 

Текебаев болсо 13май күнү эмне кылганы ар бир минутасына чейин документтерге видео сүрөт материалдарга түшүп калган Телефондун табуляграммасында дагы Маевский тарап менен Текебаев Чотонов тарапт такыр байланышкан эмес картада бир райондо дагы болгон эмес

Ар бирибиздин кайдыгерлигибизден мейли эмне болоор экен дегендигибизден ушундай өзүм билемдик болуп жатат"
"18","Tekebaev",2017-12-09,"Айииии ушундай да апыртышабы Тарых баарын тастыктайт бир куну баарына кылмыш иши козголот буйруса"
"19","Tekebaev",2017-12-09,"Чындыкты суйгон Адам эчкимден коркпойтЖээнбеков чындыкты эмес бийликти суйот"
"22","Tekebaev",2017-12-05,"Лидер фракции Ата Мекен Омурбек Текебаев разразился еще одной порцией компромата в адрес Алмазбека Атамбаева и его окружения

19сентября 2016г"
"23","Tekebaev",2017-12-06,"Атамбаев всех переплюнул"
"24","Tekebaev",2017-12-05,"Өмүрбек Текебаев А Атамбаевдин байлыгы тууралуу сандарды жарыялады

5декабрь 2017ж"
"25","Tekebaev",2017-12-05,"Бугунбу"
"26","Tekebaev",2017-12-05,"Качан чыкты эле"
"27","Tekebaev",2017-12-06,"Эскиго"
"28","Tekebaev",2017-12-06,"Бул Эски гоомурбек текебаев боштондука чыкса керек деп суйунуп кетсе"
"29","Tekebaev",2017-12-06,"Тормоздор эмне эле элдин башын айлантып атасыңар Максатынар лайк менен просмотрдун саныбы"
"30","Tekebaev",2017-12-06,"Эски го"
"31","Tekebaev",2017-12-04,"«Это нарушение норм УПК Суд обязан в десятидневный срок предоставить нам копию приговора а без нее мы не можем обратиться в Комитет ООН по правам человека Создается впечатление что задерживают с выдачей копии приговора намеренно чтобы мы не подали заявление в ООН» — сказала Таалайгуль Токтакунова"
"32","Tekebaev",2017-12-04,"Боштондук Биз Сиз мененбиз"
"33","Tekebaev",2017-12-04,"Кыргызстанда мыйзадын жоктугуакмактар оздорунун жанынан коркуп  журушотмыйзамсыз соттошуп жиберишип ушул  сотторду айосуз жазалаш керекакмак жузу жоктор"
"34","Tekebaev",2017-12-04,"Беспредел и беззаконие Реформа судебной системы по Атамбаевски"
"35","Tekebaev",2018-02-13,"ЛУЧШЕ  И ЛЕГЧЕ  В СПОРТ ЛОТО "
"36","Tekebaev",2018-02-13,"В  ООН  ВЗНОСЫ  НЕ  КОМУПЛАТИТЬ "
"37","Tekebaev",2017-11-26,"Роза Отунбаева Атамбаев болобу же Жээнбеков болобу биздин далыбыздан басып өтүп бүгүнкү бийликке келген адамдар Эгер мен ошол жерге барсам өзүмдү ыңгайсыз сезмекмин Кайсыл арыма барып жыргап отурмак элем Жолдошторубуз Өмүрбек Текебаев түрмөдө 2010жылы ЖалалАбадда токмок жеп жүргөн Бектур Асанов азыр түрмөдө Дүйшөнкул Чотонов губернаторлук ордун Жээнбековго берди эле ал деле түрмөдө отурат"
"38","Tekebaev",2017-11-27,"Урматтууу Роза Эжеке Сиз кыйын жолдун кыйырынан жол тапкан тапкыч айымсыз Улуу создо уят жок демекчи Кыргызда камчыга сап бир эркек чыкпай азыр мен кыйынмын деген эркектер сизди юпканызга башын катты эле эми ушулардан бир ийгилик умут кыласызбы Мен умуттонбойм Сизди терен урматтап Кадырбек Дооронкулович"
"39","Tekebaev",2017-11-28,"Роза эжебизде ар намыс деген бар башка эркектерге караганда"
"40","Tekebaev",2017-11-28,"НААЛАТ КАРГЫШ УШУ КЫРГЫЗДЕП ЖУГОПДОРДУ КУГУНТУК ЖАСАГАНДАРГА"
"42","Tekebaev",2017-12-06,"Роза Исаковна  эгерде сиз барбаган коктулар калбаса анда эмнеге ошо коктулардын жашоочуларынын жашоосунда бир жылыш жок Озунуздун жашоонун май каймак"
"43","Tekebaev",2017-11-26,"Экспрезидент КР Роза Отунбаева заявила в интервью «Азаттыку» что даже если бы ее пригласили на инаугурацию Сооронбая Жээнбекова она бы все равно не пошла

 Не потому что я не уважаю или хочу выразить протест по отношению к Жээнбекову но по отношению к той политике которая проводилась Когда сегодня все мои товарищи за пределами этого торжества Все те люди кто в апреле 2010 года принес победу этого нового курса на чьих спинах выросла эта власть в том числе Текебаев Омурбек и Чотонов  оба они в тюрьме Бектур Асанов тоже сегодня в тюрьме только что прошел операцию Я не представляю с каким торжествующим лицом я бы сидела на этом торжестве Поэтому я очень комфортабельна насчет того что Если они считают что они меня унизили принизили это их проблемы"
"44","Tekebaev",2017-11-27,"У Азаттыка был вопрос Готовы ли Вы простить Атамбаева на который РОтунбаева дала достойный ответ  Душманга кекти кечиргенче денегден башты кетир  кыргыздарда макал бар Прощать можно человека который не по злому умыслу неосознанно случайно чтото сделал Политика же кремлевской марионетки АША была осознанно направлена на дискредитацию кыргызской политики и парламентской системы в целом начиная с апреля 2010 года Это навешивания ярлыков типа мародеры межэтнические конфликт на юге в июне 2010 года открытое вмешательство на парламентских выборах в октябре 2010 года переговоры АША с Путиным в 2011 году и заручительство поддержки его кандидатуры в обмен на 51 долю в Мегакоме на строительство ГЭС Камбар Ата создание коррупционного КРФР пропаганда антиконституционных поправок очернение через БелизГейт МаевскийГейт арест ТекебаеваЧотонова судебное преследование АСаляновой АШыкмаматова продавливание лжеинвесторов Смеляк и ЕНагорной За все это не прощать а сажать в назидание всем иноагентам работающих в интересах Америки России Китая Турции Казахстана Узбекистана Ирана и др исламских государств"
"45","Tekebaev",2017-11-17,"Эсен болуп эстей жүр

Текебаев Мөңгүнү талкалоого Бакиевдин да абийири барган эмес Угуп койгула Эртебикечпи ушуга уруксат бергениңердин баарыңар камаласыңар  ВИДЕО »INTERKG 

Мен дагы баса белгилейм  Бакиевдин колу ушуга көтөрүлгөн эмес Эмне силер жасайлы деп жатасыңарбы Эмне Бакиев кыла албаганды биз кылып жоопкерчиликти сезбестен элди тоготпостон Кыргызстанда жүрө беребиз деп жатасыңарбы Угуп койгула Эртебикечпи ошого уруксат бергениңердин баарыңар камаласыңар 

Мөңгү баары бир көчүп түшөт эми ошону мыйзамдаштырып коелу деп мына кылмыштын баарын мыйзамдаштырганга алып келип жатасыңар  Мыйзамдаштырылбайт Жооп бересиңер камаласыңар

 Кумтөр невтисин чачса болот экен ууну чачса болот экен айтор мөңгү турган жерде каалаганын кылса болот экен деп жазып жатасыңар да мыйзам долбооруна Бул жерде кичине болсо да уят абийир намыс деген керекпи же ошол Центерранын жетегинде туруп биз улуттук байлыгыбыдан баш тартабызбы 2010жылы кабыл алынган Конституцияда Кыргызстандын табигый байлыгы элге гана тиешелүү Элдин кызыкчылыгы үчүн иштеш керек деп жазылып турат А силер ошону Кумтөрдүн гана кызыкчылыгы үчүн иштеши керек деп жазып жатасыңар

Мөңгү талкаланса зыянбыжокпу айта албайсыңар Анткени кожоюнуңар силер үчүн чечип койгон ала турганын алып койгон Эгерде антпеген болсо элден коркпостон силерди минтип ачык зордомок эмес 

httpinterkgmain19755tekebaevm12571187g1199n1199talkaloogobakievdindaabiyiribarganemesugupkoygulaertebikechpiushugauruksatbergeni1187erdinbaary1187arkamalasy1187arvideohtml"
"46","Tekebaev",2017-11-17,"Азыркы бийлик негедир алсыздай корунуп жатат  парламентти таратыш керек"
"47","Tekebaev",2017-11-17,"Акаев да Бакиев да элди элдин ойун сыйлаган экен"
"48","Tekebaev",2017-11-18,"Уяты жоктор Коздоруно только акча корунуп жатат да азыр Монгулор жоголгондо ошол акчага канча жолу суу сатып ичишет болду экен"
"49","Tekebaev",2017-11-18,"Жаман адамды  корбосон жакшы  адамдын кадырын билбейсин"
"50","Tekebaev",2017-11-18,"Туура айтасыз эмне учун сатып атышат кунумдукту ойлобой туболугун ойлошсо болмок депутаттар "
"51","Tekebaev",2017-11-19,"Элдин байлыгын эл чечиш керек эле акмактар келгиле баарылап жог кенешти тараталы лидерлер кайда"
"52","Tekebaev",2017-11-20,"Туура булардын баарын камаш керек Саткындар чекесинен сатып жатышат"
"53","Tekebaev",2017-11-20,"Парламент Текебаев менен кыйын болчуАзыр кай жакка айдаса ошол жакка басатКуудулдар таап айткан экен"
"54","Tekebaev",2017-11-20,"Кун карама шералинин тукуму бул парламент Ата мекенден биологу Наалат буларга Укум тукуму чейин бетине чиркоо"
